,Terms,Frequency
9141,ticket,22
5990,modern,22
3106,el,22
2130,confirm,22
4280,higher,22
1746,challeng,22
5264,leader,22
8556,special,22
6972,pediatrician,22
5671,matter,22
8860,surveil,22
736,antivaxx,22
9939,wave,22
8789,submit,22
5276,leav,22
7326,print,22
6891,partnership,22
7878,road,22
4953,judg,22
1186,big,22
1672,ccp,22
4797,jan,22
10278,youtub,22
1753,chanc,21
3768,futur,21
2216,corona,21
4092,half,21
900,attende,21
3686,four,21
5651,massachusett,21
2620,declin,21
4059,guest,21
7160,point,21
4688,interest,21
7909,rollout,21
945,ave,21
2533,danger,21
4167,head,21
8424,slaveri,21
9979,webinar,21
3140,email,21
9824,virginia,21
6903,past,21
483,agenc,21
8861,survey,21
503,ahead,21
3858,getthevax,20
7463,push,20
2690,depopul,20
1871,church,20
1225,bioweapon,20
5431,longer,20
7436,publish,20
7225,potenti,20
9896,walk,20
5291,legal,20
7388,propos,20
5475,lowest,20
7484,quarantin,20
3045,east,20
5555,mall,20
8206,seek,20
6725,option,20
6464,north,20
7633,recov,20
5238,launch,20
1849,choic,20
10234,ye,20
8236,senior,19
5895,militari,19
3689,fox,19
2604,debat,19
864,assist,19
1290,board,19
8197,secretari,19
5297,legisl,19
1311,book,19
5609,mark,19
6518,npr,19
7808,return,19
981,babi,19
456,advisori,19
7559,rare,19
588,almost,19
1106,believ,19
1915,claim,19
6390,nih,19
8367,significantli,19
5733,mean,19
1035,base,19
3042,easi,19
3415,factor,18
7341,privat,18
7329,prior,18
7360,professor,18
5594,march,18
3437,fall,18
1804,chicago,18
1726,ceo,18
5251,lawsuit,18
6461,normal,18
4484,icymi,18
8836,suppli,18
4054,guardian,18
7369,project,18
2178,contractor,18
406,ad,18
8505,someon,18
7536,ralli,18
6886,particip,18
3359,expand,18
7814,reveal,18
3672,former,18
2401,creat,18
5317,letter,18
8902,symptom,18
5687,mayor,18
9280,trend,17
5125,known,17
8571,spike,17
7353,process,17
7174,polit,17
6639,ohio,17
9859,vote,17
4263,hey,17
2919,doubl,17
9170,tip,17
8552,speak,17
5770,medrxiv,17
5405,lo,17
2104,complic,17
5658,match,17
9320,trust,17
2889,donat,17
2025,colin,17
1548,canada,17
2671,demonstr,17
7006,pericard,17
1702,celebr,17
401,actual,17
6749,orlando,17
9095,theyr,17
9700,vaer,17
7233,powel,17
3450,fan,17
2250,cost,17
7592,real,17
688,angel,17
394,action,17
8075,sat,17
9206,took,17
949,averag,17
223,5pm,16
3731,fri,16
4594,india,16
8207,seem,16
3114,elementari,16
4657,inperson,16
2123,condit,16
1339,boulevard,16
5363,line,16
4374,hope,16
491,agre,16
7799,resum,16
8631,standard,16
464,affect,16
658,analysi,16
2041,colorado,16
641,amid,16
2669,democrat,16
9686,vaccinessavel,16
8230,senat,16
5682,mayb,16
6909,patent,16
7377,promot,16
1852,choos,16
5175,lab,16
1015,bar,16
3440,fals,16
5343,lie,16
8214,select,16
9872,wa,16
7140,plu,16
334,abl,16
2128,confid,15
3206,ensur,15
2660,deltavari,15
3201,enough,15
3300,european,15
6131,multipl,15
4675,institut,15
3155,emphas,15
5605,marin,15
1359,branch,15
5380,listen,15
5563,manag,15
5562,man,15
4674,instead,15
3643,food,15
817,arriv,15
1203,billion,15
1816,chief,15
8958,teacher,15
3488,fear,15
3908,goe,15
8988,temporari,15
7227,potu,15
5722,md,15
7335,prison,15
1423,brown,15
2068,common,15
273,8pm,15
7036,pfe,15
9575,usfda,15
3543,file,15
4568,improv,15
905,attorney,15
3364,experi,15
8487,societi,15
9902,wallet,15
4597,indiana,15
5868,middl,15
8266,session,15
7793,restaur,15
794,arent,15
10141,word,14
3938,gotten,14
6714,opinion,14
3305,evalu,14
6154,mutat,14
413,add,14
3409,facil,14
10220,yahoo,14
1099,behind,14
6648,ok,14
6081,move,14
9705,valley,14
3625,flyer,14
9782,vermont,14
3382,extend,14
10264,yorker,14
9022,text,14
6741,oregon,14
3374,expo,14
9779,verif,14
2276,cours,14
10134,wonder,14
3997,greater,14
3761,fund,14
3293,eu,14
4743,isnt,14
2868,doesnt,14
2596,deal,14
739,antonio,14
7153,podcast,14
1267,blood,14
1546,campu,14
9190,togeth,14
9909,wane,14
4483,icu,14
4715,investig,14
2143,connecticut,14
5661,matern,14
4929,jordan,14
3036,earlier,14
9822,viral,14
778,appt,14
9130,throughout,14
9468,understand,14
6597,obtain,14
769,appli,14
9227,tour,14
2664,demand,14
4889,joe,14
8648,stat,14
9870,vulner,14
10183,wsj,14
8558,specif,14
4692,intern,14
4786,jamaica,13
8594,spring,13
2199,coordin,13
762,appeal,13
2673,deni,13
7402,prove,13
9117,though,13
8711,stick,13
4431,hub,13
8054,santa,13
6059,mortal,13
6698,ongo,13
6775,outcom,13
3720,freedom,13
6982,pend,13
3422,faculti,13
6652,oklahoma,13
454,advis,13
4574,incent,13
176,3rd,13
3434,fake,13
7694,reject,13
957,awar,13
9777,venu,13
1979,cm,13
9916,warn,13
6228,nationwid,13
6786,outsid,13
8921,taken,13
4315,histori,13
2168,contain,13
1554,cancer,13
4114,happi,13
7843,ride,13
8454,smokey,13
6718,opposit,13
7368,prohibit,13
4216,heart,13
9192,told,13
3232,equiti,13
3181,endors,13
7885,robinson,13
5340,librari,13
6027,monitor,13
3464,fast,13
6944,pay,13
796,argu,13
9313,trump,13
7261,predict,13
10148,workplac,13
770,applic,13
7397,protocol,13
1360,brand,13
3351,execut,13
3509,feel,12
5212,largest,12
9894,walgreen,12
2782,directli,12
9295,trinidad,12
8706,steve,12
7127,play,12
9121,threat,12
6353,newsom,12
2578,dc,12
3471,fauci,12
7293,press,12
4808,januari,12
3695,foxnew,12
3675,fort,12
2046,combat,12
3704,franc,12
2700,desanti,12
4706,introduc,12
5861,michigan,12
9510,unrel,12
7599,realli,12
7646,redoubl,12
10111,wish,12
9002,termin,12
8754,stress,12
4719,invit,12
5585,manufactur,12
3729,frequent,12
1563,cant,12
4746,israel,12
7585,reaction,12
7898,rodger,12
7511,race,12
4450,hundr,12
10159,worri,12
751,ap,12
472,african,12
448,advanc,12
5099,king,12
6055,morn,12
7348,probabl,12
2973,drop,12
8976,teen,12
5953,mississippi,12
9182,tobago,12
10279,youv,12
9988,wed,12
1217,biontech,12
4062,guidelin,12
7961,run,12
4316,hit,12
10072,wide,12
5988,model,12
7933,round,12
7356,product,12
918,august,12
